score,tier,sources_covered,display_name,full_name,school_canonical,position_group,prospect_key,prospect_id,reason_chips
11.1785,Watch,4,Matthew Hibner,Matthew Hibner,SMU,TE,p2026_1d06154a6ef00849,388,33% coverage; Wide variance
11.114,Watch,1,JC Davis,JC Davis,Illinois,OL,p2026_cd13036db7edc16e,660,8% coverage
11.0937,Watch,1,Jalen Catalon,Jalen Catalon,UNLV,S,p2026_c1a8941a04cacc55,511,8% coverage
11.0692,Watch,5,Karson Sharar,Karson Sharar,Iowa,LB,p2026_7af90c1e836e1344,367,42% coverage; Wide variance
11.0341,Watch,1,Shamar Easter,Shamar Easter,North Carolina,TE,p2026_a69389449331582e,512,8% coverage
11.0221,Watch,1,Louis Moore,Louis Moore,Indiana,CB,p2026_53a0df59c3a4725f,735,8% coverage
10.9744,Watch,1,Ethan O'Connor,Ethan O'Connor,Miami,CB,p2026_ad048105ef638416,513,8% coverage
10.9697,Watch,1,Kayden Mcdonald,Kayden Mcdonald,Ohio State,TE,p2026_443cc6b0a955724a,794,8% coverage; Median rank ≤ 50
10.9352,Watch,2,Stephen Hall,Stephen Hall,Missouri,CB,p2026_bab944d6a3224e70,328,17% coverage
10.9077,Watch,3,Jaren Kump,Jaren Kump,Utah,OL,p2026_b4ba030ccb775ead,335,25% coverage; Tight consensus
10.8975,Watch,1,Eddie Walls,Eddie Walls,Houston,EDGE,p2026_8e3b751a407fce82,661,8% coverage
10.8071,Watch,4,Rohan Jones,Rohan Jones,Arkansas,TE,p2026_a52e1efb54d5283b,368,33% coverage; Wide variance
10.6618,Watch,2,Grayson James,Grayson James,Boston College,QB,p2026_4ee0de01b477f901,331,17% coverage
10.4973,Watch,1,Quintayvious Hutchins,Quintayvious Hutchins,Boston College,DT,p2026_d9fffe357c665f36,736,8% coverage
10.4851,Watch,6,Namdi Obiazor,Namdi Obiazor,TCU,LB,p2026_1c5da1380c88ef5a,440,50% coverage; Wide variance
10.4796,Watch,2,Logan Diggs,Logan Diggs,Mississippi,RB,p2026_e709fe8d05cd565d,333,17% coverage
10.4645,Watch,1,Wydett Williams,Wydett Williams,Ole Miss,S,p2026_a0786b10448edaf9,662,8% coverage
10.4464,Watch,3,Wesley Bissainthe,Wesley Bissainthe,Miami FL,LB,p2026_ac618322983828cb,344,25% coverage; Tight consensus
10.3923,Watch,1,Colton Hood,Colton Hood,Tennessee,RB,p2026_9f155ed948998e9a,795,8% coverage; Median rank ≤ 50
10.1991,Watch,1,Tosh Baker,Tosh Baker,Notre Dame,OL,p2026_7425149caf08e447,520,8% coverage
10.1151,Watch,2,Donavon Greene,Donavon Greene,Virginia Tech,WR,p2026_376bfadfa00b4baf,337,17% coverage
10.024,Watch,2,Bobby Jamison-travis,Bobby Jamison-travis,Auburn,LB,p2026_163c9bc5566b4a83,338,17% coverage
9.9765,Watch,4,Mark Gronowski,Mark Gronowski,Iowa,QB,p2026_4c5e80a9aba1d402,336,33% coverage; Wide variance
9.9724,Watch,1,Lorenzo Styles,Lorenzo Styles,Ohio State,CB,p2026_723c3630bccce768,737,8% coverage
9.9605,Watch,1,Luke Hasz,Luke Hasz,Ole Miss,TE,p2026_d21100218b4d9b3f,521,8% coverage
9.9468,Watch,5,Donaven Mcculley,Donaven Mcculley,Michigan,WR,p2026_cbecaf962da90916,373,42% coverage; Wide variance
9.9328,Watch,2,Izavion Miller,Izavion Miller,Auburn,OL,p2026_6c3295825d5b77f0,339,17% coverage
9.8412,Watch,1,Dasan Mccullough,Dasan Mccullough,Nebraska,EDGE,p2026_07fafb806e8f2bc1,522,8% coverage
9.8116,Watch,3,Roydell Williams,Roydell Williams,Florida State,RB,p2026_18a382ffb84d059c,380,25% coverage; Moderate variance
9.7816,Watch,1,Trey Holly,Trey Holly,Southern,RB,p2026_ca56f4b41b87e110,523,8% coverage
9.7506,Watch,2,Anthony Smith,Anthony Smith,East Carolina,WR,p2026_e0e7b374150cdbd1,341,17% coverage
9.7501,Watch,3,Kendal Daniels,Kendal Daniels,Oklahoma,S,p2026_553d5e173e72e48a,360,25% coverage; Moderate variance
9.6981,Watch,6,Dominic Zvada,Dominic Zvada,Michigan,ST,p2026_f8028eff25fcc0dd,444,50% coverage; Wide variance
9.6934,Watch,4,Marvin Jones,Marvin Jones,Oklahoma,EDGE,p2026_c9fffd3a6983cce1,374,33% coverage; Moderate variance
9.6026,Watch,1,Brandon Cleveland,Brandon Cleveland,NC State,EDGE,p2026_84531a5556581fc3,525,8% coverage
9.4541,Watch,1,Rene Konga,Rene Konga,Louisville,DT,p2026_e5e0fb76e002ff43,663,8% coverage
9.3861,Watch,2,Dashawn Jones,Dashawn Jones,Alabama,CB,p2026_bd93d247cf43ed96,345,17% coverage
9.2038,Watch,2,Al-jay Henderson,Al-jay Henderson,Buffalo,RB,p2026_d5483bfbaa909a05,347,17% coverage
9.0976,Watch,1,Max Llewellyn,Max Llewellyn,Iowa,DT,p2026_a9d6dd0d79b0cb58,738,8% coverage
9.0211,Watch,1,Riley Nowakowski,Riley Nowakowski,Indiana,FB,p2026_667a5b1f807fefa0,664,8% coverage
9.0102,Watch,1,George Gumbs,George Gumbs,Florida,LB,p2026_e497ec448bab4ab8,739,8% coverage
9.0062,Watch,1,Jordan Hall,Jordan Hall,Georgia,DT,p2026_03ad0d9e315a4174,527,8% coverage
8.9465,Watch,1,Damari Brown,Damari Brown,Miami,CB,p2026_832233c7d0554ebe,528,8% coverage
8.9304,Watch,2,Mason Randolph,Mason Randolph,Boise State,OL,p2026_6971301d12a769d0,350,17% coverage
8.8768,Watch,1,Kani Walker,Kani Walker,Arkansas,CB,p2026_996511c2a2d424b8,665,8% coverage
8.8393,Watch,2,Dean Miller,Dean Miller,Kansas,EDGE,p2026_6c6c1d773dac864c,351,17% coverage
8.7324,Watch,1,Josh Braun,Josh Braun,Kentucky,OL,p2026_a6c8ecf8c4f4f585,666,8% coverage
8.708,Watch,1,Jalil Farooq,Jalil Farooq,Maryland,WR,p2026_5cc90d4b1f6908f0,529,8% coverage
8.6603,Watch,1,Max Bredeson,Max Bredeson,Michigan,FB,p2026_88199cb9c1720751,667,8% coverage
8.6603,Watch,1,Jakobe Thomas,Jakobe Thomas,Miami Fla.,CB,p2026_82da52c9253f8687,740,8% coverage
8.6603,Watch,1,Anthony Hill,Anthony Hill,Texas,RB,p2026_abb652c4a79d3564,796,8% coverage; Median rank ≤ 50
8.6571,Watch,2,Tyler Onyedim,Tyler Onyedim,Texas A&M,LB,p2026_255c45df41fd3d76,353,17% coverage
8.5887,Watch,1,Ja'Keem Jackson,Ja'Keem Jackson,LSU,CB,p2026_9af75a6f4922bd07,530,8% coverage
8.5659,Watch,2,Gunner Maldonado,Gunner Maldonado,Kansas State,S,p2026_99cf7df5974e0986,354,17% coverage
8.529,Watch,1,Raymond Cottrell,Raymond Cottrell,Texas A&M,WR,p2026_52b3a1818f7d2bca,531,8% coverage
8.4748,Watch,2,Tanner Arkin,Tanner Arkin,Illinois,TE,p2026_c3de0d1ee6feb531,355,17% coverage
8.4694,Watch,1,Denver Harris,Denver Harris,UNLV,CB,p2026_66c88cc7ea5e5c9a,532,8% coverage
8.4098,Watch,1,Jamari Lyons,Jamari Lyons,Florida,DT,p2026_2fea266191aad82e,533,8% coverage
8.3978,Watch,1,CJ Daniels,CJ Daniels,Miami Fla.,WR,p2026_7cf3040ecc601363,741,8% coverage
8.2925,Watch,2,Mark Petry,Mark Petry,Syracuse,OL,p2026_af580df8ea331b2e,357,17% coverage
8.2628,Watch,1,Daniel Sobkowicz,Daniel Sobkowicz,Illinois State,WR,p2026_3fc8f84df8fe5da4,772,8% coverage
8.2014,Watch,2,Mo Westmoreland,Mo Westmoreland,Tulane,EDGE,p2026_bd932322955d176b,358,17% coverage
8.1712,Watch,1,Raheem Anderson,Raheem Anderson,Western Michigan,OL,p2026_fb45cbfa52dd0129,534,8% coverage
8.1582,Watch,1,Erick Hunter,Erick Hunter,Morgan State,LB,p2026_f92cb0da07fca2bc,773,8% coverage
8.0829,Watch,1,R Mason Thomas,R Mason Thomas,Florida State,EDGE,p2026_009a2f7326dde96b,797,8% coverage; Median rank ≤ 50
