source_player_id,prospect_id,match_score,notes
9082,1202,1.0,rule_norm_name_school (Maryland)
9581,1202,1.0,rule_norm_name_school (Maryland)
10080,1202,1.0,rule_norm_name_school (Maryland)
5437,1362,0.85,rule_unique_name_key (no_school)
8995,1362,0.85,rule_unique_name_key (no_school)
4757,1206,0.85,rule_unique_name_key (no_school)
5312,1206,0.85,rule_unique_name_key (no_school)
6833,1206,0.85,rule_unique_name_key (no_school)
8870,1206,0.85,rule_unique_name_key (no_school)
4993,1707,1.0,rule_norm_name_school (UCF)
8650,1707,1.0,rule_norm_name_school (UCF)
9345,1118,0.85,rule_unique_name_key (no_school)
9880,1118,0.85,rule_unique_name_key (no_school)
10388,1118,0.85,rule_unique_name_key (no_school)
8263,1449,0.85,rule_unique_name_key (no_school)
8470,1449,0.85,rule_unique_name_key (no_school)
8226,1794,0.85,rule_unique_name_key (no_school)
8426,1794,0.85,rule_unique_name_key (no_school)
8335,1450,0.85,rule_unique_name_key (no_school)
8526,1450,0.85,rule_unique_name_key (no_school)
9141,906,0.85,rule_unique_name_key (no_school)
9654,906,0.85,rule_unique_name_key (no_school)
10144,906,0.85,rule_unique_name_key (no_school)
5047,1766,1.0,rule_norm_name_school (Missouri)
7005,1766,0.85,rule_unique_name_key (no_school)
8698,1766,1.0,rule_norm_name_school (Missouri)
4754,1418,0.85,rule_unique_name_key (no_school)
5309,1418,0.85,rule_unique_name_key (no_school)
6778,1418,0.85,rule_unique_name_key (no_school)
9336,1119,0.85,rule_unique_name_key (no_school)
9817,1119,0.85,rule_unique_name_key (no_school)
10335,1119,0.85,rule_unique_name_key (no_school)
9323,1272,0.85,rule_unique_name_key (no_school)
9849,1272,0.85,rule_unique_name_key (no_school)
10293,1272,0.85,rule_unique_name_key (no_school)
5394,1363,0.85,rule_unique_name_key (no_school)
8952,1363,0.85,rule_unique_name_key (no_school)
9312,1273,0.85,rule_unique_name_key (no_school)
9739,1273,0.85,rule_unique_name_key (no_school)
10247,1273,0.85,rule_unique_name_key (no_school)
9249,1212,0.85,rule_unique_name_key (no_school)
9756,1212,0.85,rule_unique_name_key (no_school)
10251,1212,0.85,rule_unique_name_key (no_school)
4985,1755,1.0,rule_norm_name_school (Florida)
8653,1755,1.0,rule_norm_name_school (Florida)
9307,1213,0.85,rule_unique_name_key (no_school)
9829,1213,0.85,rule_unique_name_key (no_school)
10308,1213,0.85,rule_unique_name_key (no_school)
8414,1451,0.85,rule_unique_name_key (no_school)
8616,1451,0.85,rule_unique_name_key (no_school)
8398,1452,0.85,rule_unique_name_key (no_school)
8599,1452,0.85,rule_unique_name_key (no_school)
8360,1453,0.85,rule_unique_name_key (no_school)
8564,1453,0.85,rule_unique_name_key (no_school)
5470,1719,0.85,rule_unique_name_key (no_school)
9028,1719,0.85,rule_unique_name_key (no_school)
5512,1829,0.85,rule_unique_name_key (no_school)
9070,1829,0.85,rule_unique_name_key (no_school)
4818,864,0.85,rule_unique_name_key (no_school)
6854,864,0.85,rule_unique_name_key (no_school)
9506,864,0.85,rule_unique_name_key (no_school)
9960,864,0.85,rule_unique_name_key (no_school)
10461,864,0.85,rule_unique_name_key (no_school)
5373,1769,0.85,rule_unique_name_key (no_school)
8931,1769,0.85,rule_unique_name_key (no_school)
9119,1120,0.85,rule_unique_name_key (no_school)
9612,1120,0.85,rule_unique_name_key (no_school)
10121,1120,0.85,rule_unique_name_key (no_school)
8320,1454,0.85,rule_unique_name_key (no_school)
8511,1454,0.85,rule_unique_name_key (no_school)
9237,1224,0.85,rule_unique_name_key (no_school)
9737,1224,0.85,rule_unique_name_key (no_school)
10235,1224,0.85,rule_unique_name_key (no_school)
8255,1455,0.85,rule_unique_name_key (no_school)
8454,1455,0.85,rule_unique_name_key (no_school)
9419,1225,0.85,rule_unique_name_key (no_school)
9927,1225,0.85,rule_unique_name_key (no_school)
10408,1225,0.85,rule_unique_name_key (no_school)
9140,1121,0.85,rule_unique_name_key (no_school)
9634,1121,0.85,rule_unique_name_key (no_school)
10132,1121,0.85,rule_unique_name_key (no_school)
9092,1274,0.85,rule_unique_name_key (no_school)
9594,1274,0.85,rule_unique_name_key (no_school)
10094,1274,0.85,rule_unique_name_key (no_school)
9120,1226,0.85,rule_unique_name_key (no_school)
9606,1226,0.85,rule_unique_name_key (no_school)
10111,1226,0.85,rule_unique_name_key (no_school)
9142,1085,0.85,rule_unique_name_key (no_school)
9652,1085,0.85,rule_unique_name_key (no_school)
10159,1085,0.85,rule_unique_name_key (no_school)
9287,1227,0.85,rule_unique_name_key (no_school)
9799,1227,0.85,rule_unique_name_key (no_school)
10273,1227,0.85,rule_unique_name_key (no_school)
4856,908,0.85,rule_unique_name_key (no_school)
4976,908,0.85,rule_unique_name_key (no_school)
5411,908,0.85,rule_unique_name_key (no_school)
6980,908,0.85,rule_unique_name_key (no_school)
8300,1456,0.85,rule_unique_name_key (no_school)
8487,1456,0.85,rule_unique_name_key (no_school)
8332,1457,0.85,rule_unique_name_key (no_school)
8543,1457,0.85,rule_unique_name_key (no_school)
5506,1720,0.85,rule_unique_name_key (no_school)
9064,1720,0.85,rule_unique_name_key (no_school)
8246,1694,1.0,rule_norm_name_school (Notre Dame)
8444,1694,1.0,rule_norm_name_school (Notre Dame)
8289,1458,0.85,rule_unique_name_key (no_school)
8498,1458,0.85,rule_unique_name_key (no_school)
9192,1086,0.85,rule_unique_name_key (no_school)
9696,1086,0.85,rule_unique_name_key (no_school)
10195,1086,0.85,rule_unique_name_key (no_school)
4924,1843,0.85,rule_unique_name_key (no_school)
5049,1843,1.0,rule_norm_name_school (North Carolina)
7001,1843,0.85,rule_unique_name_key (no_school)
8700,1843,1.0,rule_norm_name_school (North Carolina)
5479,1830,0.85,rule_unique_name_key (no_school)
