source_player_id,raw_full_name,raw_school,school_canonical,pos_hint,name_key,reason,status,resolved_prospect_id,candidate_json
587,DL Gracen Halton,,,DL,gracenhalton,ambiguous_name_key_2,open,,"[{""prospect_id"": 130, ""display_name"": ""Gracen Halton"", ""position_group"": ""LB"", ""school_canonical"": ""Oklahoma""}, {""prospect_id"": 471, ""display_name"": ""Gracen Halton"", ""position_group"": ""DT"", ""school_canonical"": ""Oklahoma""}]"
588,DT Skyler Gill-Howard,,,DT,skylergillhoward,ambiguous_name_key_2,open,,"[{""prospect_id"": 112, ""display_name"": ""Skyler Gill-howard"", ""position_group"": ""LB"", ""school_canonical"": ""Texas Tech""}, {""prospect_id"": 472, ""display_name"": ""Skyler Gill-howard"", ""position_group"": ""DT"", ""school_canonical"": ""Texas Tech""}]"
589,DL Tim Keenan III,,,DL,timkeenan,ambiguous_name_key_2,open,,"[{""prospect_id"": 117, ""display_name"": ""Tim Keenan"", ""position_group"": ""LB"", ""school_canonical"": ""Alabama""}, {""prospect_id"": 473, ""display_name"": ""Tim Keenan"", ""position_group"": ""DT"", ""school_canonical"": ""Alabama""}]"
590,DT DeMonte Capehart,,,DT,demontecapehart,ambiguous_name_key_2,open,,"[{""prospect_id"": 190, ""display_name"": ""Demonte Capehart"", ""position_group"": ""LB"", ""school_canonical"": ""Clemson""}, {""prospect_id"": 474, ""display_name"": ""Demonte Capehart"", ""position_group"": ""DT"", ""school_canonical"": ""Clemson""}]"
594,OT Kage Casey,,,OT,kagecasey,ambiguous_name_key_2,open,,"[{""prospect_id"": 205, ""display_name"": ""Kage Casey"", ""position_group"": ""OL"", ""school_canonical"": ""Boise State""}, {""prospect_id"": 716, ""display_name"": ""Kage Casey"", ""position_group"": ""OL"", ""school_canonical"": ""Boise St.""}]"
606,WR Ted Hurst,,,WR,tedhurst,ambiguous_name_key_2,open,,"[{""prospect_id"": 168, ""display_name"": ""Ted Hurst"", ""position_group"": ""WR"", ""school_canonical"": ""Georgia State""}, {""prospect_id"": 728, ""display_name"": ""Ted Hurst"", ""position_group"": ""WR"", ""school_canonical"": ""Georgia St.""}]"
612,DL Albert Regis,,,DL,albertregis,ambiguous_name_key_2,open,,"[{""prospect_id"": 136, ""display_name"": ""Albert Regis"", ""position_group"": ""LB"", ""school_canonical"": ""Texas A&M""}, {""prospect_id"": 475, ""display_name"": ""Albert Regis"", ""position_group"": ""DT"", ""school_canonical"": ""Texas A&M""}]"
619,WR Tyren Montgomery,,,WR,tyrenmontgomery,ambiguous_name_key_2,open,,"[{""prospect_id"": 177, ""display_name"": ""Tyren Montgomery"", ""position_group"": ""WR"", ""school_canonical"": ""John Carroll""}, {""prospect_id"": 477, ""display_name"": ""Tyren Montgomery"", ""position_group"": ""WR"", ""school_canonical"": ""Nicholls""}]"
620,DL Kaleb Proctor,,,DL,kalebproctor,ambiguous_name_key_2,open,,"[{""prospect_id"": 170, ""display_name"": ""Kaleb Proctor"", ""position_group"": ""LB"", ""school_canonical"": ""Southeastern Louisiana""}, {""prospect_id"": 478, ""display_name"": ""Kaleb Proctor"", ""position_group"": ""DT"", ""school_canonical"": ""SE Louisiana""}]"
624,DT Zane Durant,,,DT,zanedurant,ambiguous_name_key_2,open,,"[{""prospect_id"": 234, ""display_name"": ""Zane Durant"", ""position_group"": ""LB"", ""school_canonical"": ""Penn State""}, {""prospect_id"": 479, ""display_name"": ""Zane Durant"", ""position_group"": ""DT"", ""school_canonical"": ""Penn State""}]"
625,TE Dae'Quan Wright,,,TE,daequanwright,ambiguous_name_key_2,open,,"[{""prospect_id"": 188, ""display_name"": ""Dae'Quan Wright"", ""position_group"": ""TE"", ""school_canonical"": ""Mississippi""}, {""prospect_id"": 480, ""display_name"": ""Dae'Quan Wright"", ""position_group"": ""TE"", ""school_canonical"": ""Ole Miss""}]"
