source_player_id,raw_full_name,raw_school_or_json,reason
6843,Dorian Strong,,no_match_name_key
5614,Drake Baldwin,ATL,no_match_name_key
5774,Drew Gilbert,NYM,no_match_name_key
9552,Drew Lock,SEA,no_match_name_key
8729,Drew Moss,Colorado State,no_match_name_key
5898,Drew Romo,COL,no_match_name_key
9401,Drew Sample,CIN,no_match_name_key
5747,Drew Thorpe,CWS,no_match_name_key
5899,Drue Hackenberg,ATL,no_match_name_key
5719,Druw Jones,AZ,no_match_name_key
4328,Duce Chestnut,Syracuse,ambiguous_name_key_3
6386,Duce Chestnut,Syracuse,ambiguous_name_key_3
7937,Duce Chestnut,Syracuse,ambiguous_name_key_3
8213,Duce Chestnut,Syracuse,ambiguous_name_key_3
6660,Duce Robinson,Southern Cal,no_match_name_key
5887,Dylan Beavers,BAL,no_match_name_key
6668,Dylan Edwards,Colorado,no_match_name_key
8916,Dylan FairchildGeorgia,,no_match_name_key
5770,Dylan Lesko,TB,no_match_name_key
5854,Dylan Moore,SEA,no_match_name_key
8849,Dylan SampsonTennessee,,no_match_name_key
5703,Edgar Quero,CWS,no_match_name_key
5990,Edmundo Sosa,PHI,no_match_name_key
5813,Edouard Julien,MIN,no_match_name_key
5850,Eduardo Beltre,MIN,no_match_name_key
5792,Eduardo Quintero,LAD,no_match_name_key
5797,Eduardo Rodriguez,AZ,no_match_name_key
5839,Eduardo Tait,PHI,no_match_name_key
5696,Edward Cabrera,MIA,no_match_name_key
5778,Edwin Arroyo,CIN,no_match_name_key
5846,Edwin Uceta,TB,no_match_name_key
7176,EJ Smith,,no_match_name_key
4865,Eli Cox,,ambiguous_name_key_2
5420,Eli Cox,,ambiguous_name_key_2
7054,Eli Cox,,ambiguous_name_key_2
8978,Eli CoxKentucky,,no_match_name_key
4155,Eli Heidenreich,Navy,ambiguous_name_key_4
4570,Eli Heidenreich,Navy,ambiguous_name_key_4
6278,Eli Heidenreich,Navy,ambiguous_name_key_4
7463,Eli Heidenreich,Navy,ambiguous_name_key_4
7844,Eli Heidenreich,Navy,ambiguous_name_key_4
8120,Eli Heidenreich,Navy,ambiguous_name_key_4
8818,Elijah ArroyoMiami,,no_match_name_key
6021,Elijah Green,WSH,no_match_name_key
5006,Elijah Ponder,Cal Poly,no_match_name_key
4842,Elijah Roberts,,no_match_name_key
6901,Elijah Roberts,,no_match_name_key
4909,Elijah Simmons,,ambiguous_name_key_2
5464,Elijah Simmons,,ambiguous_name_key_2
7151,Elijah Simmons,,ambiguous_name_key_2
9022,Elijah SimmonsTennessee,,no_match_name_key
8812,Emeka EgbukaOhio,,no_match_name_key
5820,Emerson Hancock,SEA,no_match_name_key
5781,Emiliano Teodo,TEX,no_match_name_key
5592,Emil Morales,LAD,no_match_name_key
5548,Emmanuel Rodriguez,MIN,no_match_name_key
5776,Emmet Sheehan,LAD,no_match_name_key
5823,Endy Rodríguez,PIT,no_match_name_key
5777,Enrique Bradfield Jr.,BAL,no_match_name_key
6012,Enrique Hernández,LAD,no_match_name_key
5822,Eric Bitonti,MIL,no_match_name_key
5724,Erick Fedde,STL,no_match_name_key
6684,Eric Singleton Jr.,Georgia Tech,no_match_name_key
6028,Esteury Ruiz,LAD,no_match_name_key
5018,Ethan Downs,Oklahoma,no_match_name_key
7006,Ethan Downs,,no_match_name_key
8776,Ethan Garbers,UCLA,no_match_name_key
8728,Ethan Robinson,Minnesota,no_match_name_key
5603,Ethan Salas,SD,no_match_name_key
4876,Eugene Asante,,ambiguous_name_key_2
7152,Eugene Asante,,ambiguous_name_key_2
6628,Eugene Wilson III,Florida,no_match_name_key
5551,Evan Carter,TEX,no_match_name_key
5848,Evan Phillips,LAD,no_match_name_key
7190,Evan Prater,,no_match_name_key
5841,Everson Pereira,NYY,no_match_name_key
4851,Fadil Diggs,,no_match_name_key
6955,Fadil Diggs,,no_match_name_key
5581,Felnin Celesten,SEA,no_match_name_key
5023,Fentrell Cypress II,Florida State,no_match_name_key
7051,Fentrell Cypress III,,no_match_name_key
5553,Francisco Alvarez,NYM,no_match_name_key
8996,Francisco MauigoaMiami,,no_match_name_key
5853,Frankie Montas,NYM,no_match_name_key
7199,Frank Ladson Jr.,,no_match_name_key
