normalized_name,display_name,pos,school,in_ras,in_jfoster,ras_score,jfoster_rank,season_id
elijah fisher,Elijah Fisher,OC,UL Monroe,1,0,,,1
elijah sarratt,Elijah Sarratt,WR,Indiana,1,1,,134,1
emmanuel henderson jr.,Emmanuel Henderson Jr.,WR,Kansas,1,1,7.78,?,1
emmanuel mcneil-warren,Emmanuel McNeil-Warren,FS,Toledo,1,1,9.13,33,1
emmanuel pregnon,Emmanuel Pregnon,OG,Oregon,1,1,9.42,25,1
emmett johnson,Emmett Johnson,RB,Nebraska,1,1,5.78,89,1
eni falayi,Eni Falayi,TE,Wake Forest,1,1,,?,1
enrique cruz jr.,Enrique Cruz Jr.,OG,Kansas,1,1,9.99,?,1
ephesians prysock,Ephesians Prysock,CB,Washington,1,1,9.9,163,1
eric butler,Eric Butler,S,San Diego State,0,1,,?,1
eric genry,Eric Genry,LB,Southern California,1,0,,,1
eric gentry,Eric Gentry,LB,USC,1,1,,196,1
eric mcalister,Eric McAlister,WR,Texas Christian,1,1,,?,1
eric o'neill,Eric O'Neill,ED,Rutgers,1,1,,?,1
eric rivers,Eric Rivers,WR,Georgia Tech,1,1,8.89,157,1
erick hunter,Erick Hunter,LB,Morgan State,1,1,,?,1
ethan burke,Ethan Burke,ED,Texas,1,1,,240,1
ethan conner,Ethan Conner,TE,Troy,0,1,,?,1
ethan johnson,Ethan Johnson,CB,Appalachian State,1,0,,,1
ethan onianwa,Ethan Onianwa,OG,Ohio State,1,1,,291,1
evan beernsten,Evan Beernsten,OG,Northwestern,1,0,7.27,,1
evan beerntsen,Evan Beerntsen,OG,Northwestern,1,1,,?,1
fa'alili fa'amoe,Fa'alili Fa'amoe,OT,Wake Forest,1,1,,249,1
febechi nwaiwu,Febechi Nwaiwu,OG,Oklahoma,1,1,7.19,?,1
fernando carmona,Fernando Carmona,OG,Arkansas,1,1,8.87,?,1
fernando carmona jr.,Fernando Carmona Jr.,OG,Arkansas,1,0,,,1
fernando mendoza,Fernando Mendoza,QB,Indiana,1,1,,2,1
fintan brose,Fintan Brose,G,Delaware,0,1,,?,1
fisher camac,Fisher Camac,ED,Virginia,0,1,,?,1
francis mauigoa,Francis Mauigoa,OT,Miami,1,1,,8,1
fred davis ii,Fred Davis II,CB,Northwestern,0,1,,?,1
fred perry,Fred Perry,S,West Virginia,1,0,,,1
freddie brock,Freddie Brock,HB,Georgia State,0,1,,?,1
gabe jacas,Gabe Jacas,DE,Illinois,1,1,,47,1
gabriel benyard,Gabriel Benyard,WR,Kennesaw State,0,1,,?,1
gabriel rubio,Gabriel Rubio,DL,Notre Dame,0,1,,?,1
gafa faga,Gafa Faga,DL,San José State,0,1,,?,1
garrett digiorgio,Garrett DiGiorgio,OT,UCLA,1,1,6.91,?,1
garrett nussmeier,Garrett Nussmeier,QB,Louisiana State,1,1,,64,1
garrett oakley,Garrett Oakley,TE,Kansas State,0,1,,?,1
gary bryant jr.,Gary Bryant Jr.,WR,Oregon,1,0,,,1
gary smith iii,Gary Smith III,DT,UCLA,1,1,,169,1
gavin gerhardt,Gavin Gerhardt,OC,Cincinnati,1,1,,?,1
gavin ortega,Gavin Ortega,OT,Weber State,0,1,,?,1
genesis smith,Genesis Smith,FS,Arizona,1,1,,42,1
gennings dunker,Gennings Dunker,OT,Iowa,1,1,8.61,88,1
geno vandemark,Geno VanDeMark,G,Alabama,0,1,,?,1
george gumbs,George Gumbs,ED,Florida,0,1,,?,1
george gumbs jr,George Gumbs Jr,DE,Florida,1,0,9.07,,1
germie bernard,Germie Bernard,WR,Alabama,1,1,9.04,84,1
gio el-hadi,Gio El-Hadi,G,Michigan,0,1,,?,1
giovanni el-hadi,Giovanni El-Hadi,OG,Michigan,1,0,,,1
gracen halton,Gracen Halton,DT,Oklahoma,1,1,9.23,78,1
grahm goering,Grahm Goering,WR,South Dakota State,0,1,,?,1
grayson james,Grayson James,QB,Boston College,1,1,,?,1
griffin wilde,Griffin Wilde,WR,Northwestern,0,1,,?,1
gunnar hansen,Gunnar Hansen,OT,Florida State,0,1,,?,1
gunner maldonado,Gunner Maldonado,S,Kansas State,1,1,,?,1
gus zilinskas,Gus Zilinskas,OC,Rutgers,1,1,,?,1
hank beatty,Hank Beatty,WR,Illinois,0,1,,?,1
harold perkins jr.,Harold Perkins Jr.,LB,Louisiana State,1,1,,179,1
harrison wallace iii,Harrison Wallace III,WR,Mississippi,1,1,,152,1
hayden large,Hayden Large,TE,Iowa,0,1,,?,1
haynes king,Haynes King,QB,Georgia Tech,1,1,9.55,?,1
heinrich haarberg,Heinrich Haarberg,TE,Nebraska,0,1,,?,1
henry lutovsky,Henry Lutovsky,G,Nebraska,0,1,,?,1
hezekiah masses,Hezekiah Masses,CB,California,1,1,6.07,151,1
hudson habermehl,Hudson Habermehl,TE,UCLA,1,0,,,1
hunter zambrano,Hunter Zambrano,G,Texas Tech,0,1,,?,1
ike iwunnah,Ike Iwunnah,DT,Michigan,1,0,,,1
ike larsen,Ike Larsen,S,Utah State,1,0,,,1
isaia glass,Isaia Glass,OT,Vanderbilt,1,1,,?,1
isaiah jatta,Isaiah Jatta,OT,BYU,1,1,,?,1
isaiah nwokobia,Isaiah Nwokobia,S,SMU,1,1,,?,1
isaiah revis,Isaiah Revis,S,San Jose State,1,0,,,1
isaiah smith,Isaiah Smith,ED,SMU,0,1,,?,1
isaiah world,Isaiah World,OT,Oregon,1,1,,245,1
izavion miller,Izavion Miller,OT,Auburn,1,1,,?,1
j'mari taylor,J'Mari Taylor,RB,Virginia,1,1,,211,1
j'mond tapp,J'Mond Tapp,ED,Southern Miss,1,0,,,1
j'onre reed,J'Onre Reed,OC,USC,0,1,,?,1
j. michael sturdivant,J. Michael Sturdivant,WR,Florida,1,0,9.96,,1
j.c. davis,J.C. Davis,OT,Illinois,1,1,7.29,118,1
j.michael sturdivant,J.Michael Sturdivant,WR,Florida,0,1,,?,1
ja'kobi lane,Ja'Kobi Lane,WR,Southern California,1,1,9.69,149,1
ja'mori maclin,Ja'Mori Maclin,WR,Kentucky,1,1,,?,1
jabari mack,Jabari Mack,CB,Louisville,1,1,,?,1
jack dingle,Jack Dingle,LB,Cincinnati,0,1,,?,1
jack endries,Jack Endries,TE,Texas,1,1,9.39,189,1
jack hollifield,Jack Hollifield,OC,Tulane,1,0,,,1
jack kelly,Jack Kelly,LB,BYU,1,1,9.81,194,1
jack pyburn,Jack Pyburn,DE,Louisiana State,1,1,,127,1
jack stonehouse,Jack Stonehouse,PK,Syracuse,1,0,,,1
jack strand,Jack Strand,QB,MSU Moorhead,1,1,,?,1
jack velling,Jack Velling,TE,Michigan State,1,1,,266,1
jack walsh,Jack Walsh,OC,Wyoming,0,1,,?,1
jackie marshall,Jackie Marshall,DT,Baylor,1,1,8.66,?,1
jackson carsello,Jackson Carsello,OC,Northwestern,0,1,,?,1
jackson kuwatch,Jackson Kuwatch,LB,Miami (OH),0,1,,?,1
jacob clark,Jacob Clark,QB,Missouri State,1,1,,?,1
jacob de jesus,Jacob De Jesus,WR,California,0,1,,?,1
jacob dennison,Jacob Dennison,G,Wake Forest,0,1,,?,1
jacob finley,Jacob Finley,CB,Northern Illinois,1,0,,,1
jacob rodriguez,Jacob Rodriguez,LB,Texas Tech,1,1,9.52,97,1
jacob thomas,Jacob Thomas,S,James Madison,0,1,,?,1
jacobian guillory ii,Jacobian Guillory II,DL,LSU,0,1,,?,1
jadarian price,Jadarian Price,RB,Notre Dame,1,1,8.37,72,1
jaden dugger,Jaden Dugger,LB,Louisiana,1,1,,?,1
jaden keller,Jaden Keller,LB,Virginia Tech,0,1,,?,1
jaden nixon,Jaden Nixon,RB,UCF,1,1,,?,1
jadon canady,Jadon Canady,CB,Oregon,1,1,,80,1
jaeden roberts,Jaeden Roberts,OG,Alabama,1,1,,259,1
jager burton,Jager Burton,OC,Kentucky,1,1,9.93,221,1
jah-marien latham,Jah-Marien Latham,DT,Alabama,1,1,,?,1
jaheem joseph,Jaheem Joseph,S,UNLV,0,1,,?,1
jahmal edrine,Jahmal Edrine,WR,Virginia,0,1,,?,1
jahmeer carter,Jahmeer Carter,DL,Virginia,0,1,,?,1
jahron manning,Jahron Manning,S,Mississippi State,1,0,,,1
jaidyn denis,Jaidyn Denis,CB,Memphis,0,1,,?,1
jairus mack,Jairus Mack,WR,Western Kentucky,0,1,,?,1
jaishawn barham,Jaishawn Barham,DE,Michigan,1,1,8.72,164,1
jakai moore,Jakai Moore,G,North Carolina,0,1,,?,1
jake golday,Jake Golday,LB,Cincinnati,1,1,9.73,55,1
jake retzlaff,Jake Retzlaff,QB,Tulane,0,1,,?,1
jake slaughter,Jake Slaughter,OC,Florida,1,1,9.91,193,1
jake timm,Jake Timm,OC,Buffalo,0,1,,?,1
jakobe thomas,Jakobe Thomas,SS,Miami,1,1,,183,1
jaleel skinner,Jaleel Skinner,TE,Louisville,0,1,,?,1
jalen catalon,Jalen Catalon,S,Missouri,0,1,,?,1
jalen farmer,Jalen Farmer,OG,Kentucky,1,1,9.67,120,1
jalen huskey,Jalen Huskey,FS,Maryland,1,1,,165,1
